Item,Occasion,Length,Color,Fabric,Care,Style,Lined,Belted,Closure,Sleeve,Neck,Size,Alterations,Purchase.Acquire,Designer,Season
Jacket,Dressy,Waist,Black,Velvet,Dry-clean,Blazer,Y,N,Snap,Long,Mandarin,18,N,2009,Vince Camuto,Winter2
Jacket,Work,Waist,"Black, white",Cotton blend,Dry-clean,Blazer,Y,N,Button,Long,Contrast,16,N,2015,Jones NY,Winter2
Jacket,Work,Below waist,Red,"Cotton, ponte",Dry-clean,Military,Y,N,Button,Long,Collar,20,N,2014,Jones NY,Winter3
Jacket,Work,Waist,"Purple, dark olive","Cotton, canvas",Dry-clean,Trapeze,Y,N,Button,Bell,Poet,XL,N,2010,DKNYC,Winter2
Jacket,Work,Waist,Khaki,Cotton blend,Machine,Safari,N,N,Button,Long,Notched collar,16,N,2014,Old Navy,Summer3
Jacket,Casual,Below waist,Blue,Cotton,Machine,Double breast,Y,N,Button,Long,Collar,18,N,2013,Old Navy,Winter2
Sweater,Work,Long,"Blue, white",Wool,Dry-clean,"Cardigan, topstitch",N,Y,Open front,Long,Jewel,XL,N,2016,Banana Republic,Winter2
Sweater,Casual,Crop,"Multi, black, red, brown, white",Cotton,Machine,Pull over,N,N,,Long,Jewel,XL,N,2016,Rue21,Winter2
Sweater,Work,Below waist,"Black, gray",Cotton,Machine,Vest,N,N,Open front,Sleeveless,Shawl,22,N,2013,LB,Winter2
Sweater,Casual,Waist,Gray,Cotton,Hand,Vest,N,N,Button,Sleeveless,Fuzzy,18,N,2010,LB,Winter2
Sweater,Work,Below waist,Red,Cotton,Machine,Vest,N,Y,Open front,Cap,Shawl,XL,N,2008,Michael Kors,Winter3
Jacket,Work,Waist,Brown,Woven Polyester blend,Dry-clean,Retro,Y,N,Button,"""3/4""",Shawl,16,N,2013,LB,Summer2
Jacket,Work,Waist,Tweed,Woven Polyester blend,Dry-clean,Blazer,Y,N,Button,Long,Notched collar,22,N,2001,Ellen Tracy,Summer3
Jacket,Work,Waist,Linen,Woven Cotton Linen,Dry-clean,Blazer,Y,N,Button,Long,Notched collar,22,N,2012,Jones NY,Summer3
Jacket,Casual,Waist,Khaki green,Canvas,Machine,Racer,N,N,Zip,Long,Banded,22,N,2015,LB,Winter3
Jacket,Casual,Waist,Khaki green,"Linen, cotton",Machine,Biker,N,N,Zip,Long,Jewel,18,N,2014,LB,Summer2
Jacket,Casual,Waist,Brown,"Cotton, waxed",Machine,Military,N,N,Button,Long,Jewel,18,N,2013,LB,Summer3
Jacket,Work,Below waist,"Black, white","Cotton, check",Dry-clean,Trench,Y,Y,Button,Long,Notched collar,20,N,2009,Ralph Lauren,Summer2
Jacket,Casual,Waist,Red,Canvas,Machine,"Denim, trad",N,N,Button,Long,Collar,22,N,2011,Ralph Lauren,Winter2
Jacket,Work,Waist,Brown,Woven Polyester blend,Dry-clean,Blazer,Y,N,Button,Long,Notched collar,18,N,2009,Jones NY,Summer2
Jacket,Work,Waist,Black,"Cotton, knit","Dry-clean, hand",Cardigan sweater,N,N,Button,Long,Notched collar,18,N,2014,LB,Winter3
Jacket,Casual,Waist,"Black, white, red","Polyester, shark",Machine,Varsity sweater,N,N,Open front,Long,Swing,XL,N,2015,Torrid,Winter3
Sweater,Work,Below waist,Blue,Cotton,Machine,Kimono,N,N,Open front,Short,Swing,XL,N,2013,Anthropologie,Winter3
Sweater,Casual,Waist,Light blue,Cotton,Hand,Hand made,N,N,Open front,Long,Swing,XL,N,2006,SKIF,All
Sweater,Casual,Waist,Red,Cotton,Hand,Hand made,N,N,Open front,Long,Swing,XL,N,2006,SKIF,All
Pant Suit,Work,Waist,Gray,Cotton blend,Dry-clean,"Pin Stripe, top stitch",Y,N,Button,Long,Notched collar,18,"Y,2016",2010,Tahari,Summer2
Pant Suit,Work,Waist,Black,Polyester blend,Dry-clean,Equestrian,Y,N,Button,Long,Notched collar,20,"Y,2011",2007,Ralph Lauren,All
Skirt Suit,Work,Waist,Brown,Tweed,Dry-clean,Poet,Y,N,Button,"""3/4""",Poet,18,N,2008,John Meyer,Winter3
Skirt Suit,Work,Waist,Red,Cotton blend,Dry-clean,Top stitch,Y,N,Button,Long,Notched collar,20,N,2012,Arthur Levine,All
Skirt Suit,Work,Waist,Navy ,Cotton blend,Dry-clean,Pipe trim,Y,N,Button,Long,Notched collar,18,N,2008,Tahari,All
Blouse,Dressy,Waist,"Navy, white",Polyester,Hand,Polka dot,N,N,Button,Long,Pointed,18,N,2012,Jones NY,All
Blouse,Dressy,Waist,Cream,Polyester,Dry-clean,Satin,N,N,Button,Long,Pointed,18,N,2013,LB,All
Blouse,Dressy,Waist,Cream,Linen,Hand,Pintuck,N,N,Button,Long,Pointed,18,N,2013,Ralph Lauren,All
Blouse,Dressy,Waist,Cream,Polyester,Dry-clean,Sequin detail,N,N,Hidden button,Long,Sequin Collar,18,N,2014,LB,All
Blouse,Dressy,Waist,Burgundy,Silk,"Dry-clean, hand",Banded collar,N,N,Pull over,Long,Mandarin,18,N,2013,Talbots,All
Blouse,Dressy,Waist,"Black, Cream, Violet",Silk,"Dry-clean, hand",Tunic,N,N,Pull over,"""3/4""",Boat neck,18,N,2005,Ralph Lauren,All
Blouse,Dressy,Waist,"Navy, white",Cotton,Machine,Bold stripe,N,N,Button,Long,Ruffle Collar,18,N,2011,Ralph Lauren,All
Duster,Casual,Long,"Blue, Green",Polyester,Machine,Kimono,N,N,Open front,Short,Swing,XL,N,2014,"HM, France",All
Blouse,Work,Waist,"Powder blue, white",Cotton,Machine,"Tuxedo, ruffle",N,N,Hidden button,Long,Shirt,18,N,2010,Ralph Lauren,All
Blouse,Work,Waist,"Blue, gold",Linen,Machine,Shirt,N,N,Button,Long,Shirt,18,N,2003,Liz Claiborne,All
Blouse,Work,Waist,Hot pink,Linen,Machine,Shirt,N,N,Button,Long,Shirt,16,N,1999,Henry Cotton,All
Blouse,Work,Waist,"Red, white",Cotton blend,Hand,Peplum,N,N,Pull over,Cap,Boat neck,18,N,2016,Talbots,Summer3
